camera_count,lpips_alex_spatial,masked_mae,masked_psnr,method,n_id,n_obs,pixel_count_mean,region,seed,source,ssim,subject,variant
11,0.34501531301451127,0.10167996811144281,13.94339543555711,adaptive,128,4,11264.0,full_frame,0,ordinary,0.4470267268744382,139,primary_full_target_density1
11,0.41610422083941145,0.10060256609201193,15.667060105013736,adaptive,128,4,7177.636363636364,foreground,0,ordinary,,139,primary_full_target_density1
11,0.38392152115960615,0.08650043146339916,17.556904705623335,adaptive,128,4,5157.181818181818,flame_supported,0,ordinary,,139,primary_full_target_density1
11,0.49168707969982745,0.13758956548809637,13.013620403759864,adaptive,128,4,2020.4545454545455,flame_unsupported,0,ordinary,,139,primary_full_target_density1
11,0.3529437766572933,0.11052992110800708,17.018092724017478,adaptive,128,4,313.09090909090907,oral,0,ordinary,,139,primary_full_target_density1
11,0.23507742042050933,0.05169213719054304,23.39626622604125,adaptive,128,4,83.27272727272727,eyes,0,ordinary,,139,primary_full_target_density1
11,0.223355042435281,0.10416619734787096,11.999080910587516,adaptive,128,4,4086.3636363636365,background,0,ordinary,,139,primary_full_target_density1
7,0.3377199575498507,0.10041962454329323,13.88782268600104,adaptive,128,8,11264.0,full_frame,0,ordinary,0.44533476659229826,139,primary_full_target_density1
7,0.4078272555985496,0.09869710096266941,15.707681664511536,adaptive,128,8,7183.142857142857,foreground,0,ordinary,,139,primary_full_target_density1
7,0.3750602196046022,0.08494579698044201,17.604633747596232,adaptive,128,8,5079.571428571428,flame_supported,0,ordinary,,139,primary_full_target_density1
7,0.48347769364915966,0.13213755870565758,13.133864165472094,adaptive,128,8,2103.5714285714284,flame_unsupported,0,ordinary,,139,primary_full_target_density1
7,0.3442900400703756,0.11136090713265763,16.880851257646697,adaptive,128,8,318.14285714285717,oral,0,ordinary,,139,primary_full_target_density1
7,0.23144995946354205,0.053598984512073754,23.19590108604018,adaptive,128,8,82.85714285714286,eyes,0,ordinary,,139,primary_full_target_density1
7,0.21874976830441145,0.10466820479069841,11.831141715316106,adaptive,128,8,4080.8571428571427,background,0,ordinary,,139,primary_full_target_density1
14,0.2500866512199501,0.10498154834235383,12.934848085772218,adaptive,128,1,11264.0,full_frame,0,ordinary,0.5651990877730506,175,primary_full_target_density1
