ci_high,ci_low,control_minus_reference_mean,control_variant,geometry_metric,identity_count,method,n_id,n_obs,reference_variant
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-20.32834541002909,-30.332428984642036,-25.34049657185873,full_target_density2,neck_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-23.50988603432973,-33.309756884574895,-28.532855351765953,full_target_density2,neck_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-24.078497169812522,-33.57139208634695,-28.892399660746257,full_target_density2,neck_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-14.54845359325409,-21.79039955457052,-18.23253205617269,full_target_density2,neck_offset_mean_mm,20,released,8,1,primary_full_target_density1
-13.43883281548818,-19.959634567101794,-16.74191306432088,full_target_density2,neck_offset_mean_mm,20,released,8,4,primary_full_target_density1
-14.521191410223643,-21.041095761458074,-17.87648185094198,full_target_density2,neck_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,full_target_density2,neck_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-23.34546452999115,-37.18384570121765,-30.822394609451287,full_target_density2,neck_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-19.73797311464946,-36.7310232202212,-29.137701479593915,full_target_density2,neck_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-19.07500313520432,-36.25040915171305,-28.3677924156189,full_target_density2,neck_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-28.916169764995576,-45.37947516123454,-37.793714380264284,full_target_density2,neck_offset_mean_mm,20,released,384,1,primary_full_target_density1
-24.184177503585815,-42.662360686461135,-34.03801342646281,full_target_density2,neck_offset_mean_mm,20,released,384,4,primary_full_target_density1
-24.687017787297567,-41.854074229399366,-33.70135780970256,full_target_density2,neck_offset_mean_mm,20,released,384,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,8,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,8,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,8,8,primary_full_target_density1
-9.468485150734585,-17.142483779191966,-13.05151408513387,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,8,1,primary_full_target_density1
-8.150447765986126,-14.800652511517205,-11.34838358561198,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,8,4,primary_full_target_density1
-8.046388775904978,-14.45719407320023,-11.04648388226827,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,8,8,primary_full_target_density1
-3.807212377389272,-6.867012346188226,-5.318182102839152,head_target_density1,oral_slots_offset_mean_mm,20,released,8,1,primary_full_target_density1
-3.5350745566686004,-6.435479104916253,-4.9080463409423825,head_target_density1,oral_slots_offset_mean_mm,20,released,8,4,primary_full_target_density1
-3.529682554801306,-6.046738084157307,-4.769790824254354,head_target_density1,oral_slots_offset_mean_mm,20,released,8,8,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,384,1,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,384,4,primary_full_target_density1
0.0,0.0,0.0,head_target_density1,oral_slots_offset_mean_mm,20,hard,384,8,primary_full_target_density1
-4.6901202285289765,-8.683401166995367,-6.63511775334676,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,384,1,primary_full_target_density1
-4.841771371761958,-9.067254296541213,-7.016726382573447,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,384,4,primary_full_target_density1
-4.685306254625321,-8.585329084793727,-6.604341506958008,head_target_density1,oral_slots_offset_mean_mm,20,adaptive,384,8,primary_full_target_density1
-6.971615672111511,-13.319126822551091,-10.038886658350627,head_target_density1,oral_slots_offset_mean_mm,20,released,384,1,primary_full_target_density1
-7.882330480813982,-14.074022981723148,-10.990748341878257,head_target_density1,oral_slots_offset_mean_mm,20,released,384,4,primary_full_target_density1
