ci_high,ci_low,control_advantage_mean,control_variant,identity_count,method,metric,n_id,n_obs,reference_variant,region
-1.0233008931757714,-2.351298362253603,-1.7108978779937878,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,foreground
-0.12036221251901703,-1.6479881774550371,-0.9171704907414476,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,full_frame
1.079521238834729,0.24936555813902925,0.6537134106134854,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,head_foreground
1.9631850111983549,1.0619290004600326,1.5144444425117398,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,head_supported
0.22684590682705155,-0.9905886520223643,-0.3098080809753526,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,head_unsupported
1.0676902736838831,0.34106991541738585,0.7033918059033558,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,oral
-1.8942412819207406,-3.7178877643442636,-2.852417233289335,head_target_density1,20,released,masked_psnr,8,4,primary_full_target_density1,torso_outside_head_roi
3.118314074961042,1.4682371738976854,2.2369795177188694,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,background
1.948714177173118,0.8001050595249575,1.3353219639490188,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,eyes
0.9517516649449538,-0.376995032842095,0.2667826809774792,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,flame_supported
-1.8697295383769204,-3.2131938043467128,-2.5208365506700643,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,flame_unsupported
-1.1476536847337218,-2.4807214428266473,-1.8336782210968159,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,foreground
-0.15892209091725945,-1.7463431351664724,-1.0175405779021023,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,full_frame
1.0528395246873246,0.281607364018912,0.662952982995648,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,head_foreground
2.0274733504113236,1.168904070319326,1.5928150634170088,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,head_supported
0.18584503794240015,-0.9773165273451854,-0.3173566750267667,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,head_unsupported
0.9762296052836775,0.2821856084155218,0.6156279066016286,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,oral
-2.095302970752591,-3.9791929613864863,-3.057053686951226,head_target_density1,20,released,masked_psnr,8,8,primary_full_target_density1,torso_outside_head_roi
-0.051184566305678615,-0.33225166544168305,-0.18423688309759792,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,background
-0.013455441169163829,-0.08032265312172773,-0.04492853414993423,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,eyes
-0.14201979285771804,-0.30193323816608375,-0.21988765296598717,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,flame_supported
0.006176152717841872,-0.0020981715471697095,0.0017708587607759175,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,flame_unsupported
-0.013549008289971758,-0.0778187245978255,-0.041484238581846314,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,foreground
-0.025284957804200228,-0.15749692609690227,-0.08403802017318016,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,full_frame
0.05484835536655848,-0.012008212534417636,0.02326572222300314,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,head_foreground
0.10777326206837745,-0.02593839791312602,0.0426203362135686,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,head_supported
0.03376431297306759,-0.01974899545276509,0.01288111769022655,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,head_unsupported
0.20770307598005855,0.016470318086281327,0.11168182538245279,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,oral
-0.03950441969723981,-0.17824384248494624,-0.09804650283738128,head_target_density1,20,hard,masked_psnr,384,1,primary_full_target_density1,torso_outside_head_roi
0.03647357590604741,-0.1416432946360805,-0.045104837617151894,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,background
0.05754386032707416,-0.014950882334526065,0.02371285217153769,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,eyes
-0.18158093884982462,-0.2854490572177595,-0.23390083625967462,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,flame_supported
-0.00469789955741459,-0.010983581298662526,-0.007900226953438616,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,flame_unsupported
-0.025352252910338227,-0.06489572128868379,-0.04287043398482075,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,foreground
-0.023094850304195377,-0.09112730716822615,-0.05254421421907858,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,full_frame
0.009878928620275932,-0.021774225716278784,-0.004942808831860557,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,head_foreground
0.034507452450529726,-0.043239361731006475,-0.003903389362693588,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,head_supported
0.0027699289349307466,-0.011219578264311577,-0.0036199366575642377,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,head_unsupported
0.01737889360911301,-0.041220021341825674,-0.011833073242078208,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,oral
-0.036544941334645926,-0.13060203084568126,-0.07585002497804025,head_target_density1,20,hard,masked_psnr,384,4,primary_full_target_density1,torso_outside_head_roi
0.03388677217538607,-0.11362003980357516,-0.03551848184929822,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,background
0.05153266673308519,-0.027395234747992308,0.01347805998600613,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,eyes
-0.18848495787105807,-0.2790188553219219,-0.2353157452216971,head_target_density1,20,hard,masked_psnr,384,8,primary_full_target_density1,flame_supported
