advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,training_seed,variant
0.024424030790473478,0.03512028003643353,0.014218637711480615,released,0.85,20,masked_mae,384,1,head_foreground,0,primary_full_target_density1
-0.007994098903168146,-0.0044729571199699026,-0.011500702075083065,adaptive,0.1,20,masked_mae,384,1,head_supported,0,primary_full_target_density1
-0.00651949576222507,-0.0040539042083915545,-0.009071895943443124,released,0.15,20,masked_mae,384,1,head_supported,0,primary_full_target_density1
0.22514448941673768,0.29725956927573943,0.1543906934727567,adaptive,0.9,20,masked_mae,384,1,head_unsupported,0,primary_full_target_density1
0.25121036893593834,0.31761148932435584,0.18576284888256236,released,1.0,20,masked_mae,384,1,head_unsupported,0,primary_full_target_density1
-0.006616060883052737,-0.0038268945738789773,-0.009667659965201095,adaptive,0.15,20,masked_mae,384,1,oral,0,primary_full_target_density1
-0.00412406517655869,-0.0016090260191059735,-0.006807307268632213,released,0.25,20,masked_mae,384,1,oral,0,primary_full_target_density1
0.31788794494100886,0.38029778545777804,0.25049839965521314,adaptive,1.0,20,masked_mae,384,1,torso_outside_head_roi,0,primary_full_target_density1
0.325726073221079,0.3913052008188738,0.25294712500708305,released,0.95,20,masked_mae,384,1,torso_outside_head_roi,0,primary_full_target_density1
-0.020645527703596966,-0.014534611818436082,-0.026993020575949277,adaptive,0.05,20,masked_mae,384,4,background,0,primary_full_target_density1
-0.019032803110034496,-0.01240136800617796,-0.02727805561066249,released,0.1,20,masked_mae,384,4,background,0,primary_full_target_density1
0.0007385403753704768,0.003869720410812166,-0.002103734884916876,adaptive,0.5,20,masked_mae,384,4,eyes,0,primary_full_target_density1
-0.0017500490693268486,0.0017544564807869555,-0.005228919430517908,released,0.45,20,masked_mae,384,4,eyes,0,primary_full_target_density1
-0.006173676556168071,-0.0012797212362925636,-0.011055605608163169,adaptive,0.35,20,masked_mae,384,4,flame_supported,0,primary_full_target_density1
-0.0033899155978740205,0.0016665975362851833,-0.008486237127879834,released,0.35,20,masked_mae,384,4,flame_supported,0,primary_full_target_density1
0.3608925984061536,0.4343281533871801,0.2837828627655892,adaptive,1.0,20,masked_mae,384,4,flame_unsupported,0,primary_full_target_density1
0.3799548455824343,0.45501694121763625,0.30090360257594506,released,1.0,20,masked_mae,384,4,flame_unsupported,0,primary_full_target_density1
0.10288065716198855,0.1268478112731659,0.07842666206716509,adaptive,0.95,20,masked_mae,384,4,foreground,0,primary_full_target_density1
0.11038884565546278,0.13449705881803767,0.08564005783253775,released,1.0,20,masked_mae,384,4,foreground,0,primary_full_target_density1
0.049011322601439214,0.06356987899492594,0.03518025763312319,adaptive,0.9,20,masked_mae,384,4,full_frame,0,primary_full_target_density1
0.05389012022780319,0.06901840410982939,0.03934603637243434,released,0.95,20,masked_mae,384,4,full_frame,0,primary_full_target_density1
