fold,condition,radius_mm,camera_id,split,oral_psnr,oral_mae,supported_psnr,unsupported_psnr,head_psnr
fold_b,r010,10.0,222200042,train,30.16997695783113,0.018774511416753133,37.072678934059184,13.741586651546523,17.906087663456084
fold_b,r010,10.0,222200044,train,30.927649785398835,0.020187446906131768,29.006758383954896,15.961638782507027,18.600537533383942
fold_b,r010,10.0,222200046,train,35.39693213477793,0.012076419439071263,32.8984933552466,14.652039499695794,17.755259077331623
fold_b,r010,10.0,222200040,train,27.969640115299036,0.02955091743059056,28.83763452902717,16.266877999260565,18.189340481393593
fold_b,r010,10.0,222200036,heldout,31.6850180384626,0.021399513546959226,28.40498314275849,12.072889434832305,14.574107220387585
fold_b,r010,10.0,222200048,heldout,30.03244998973419,0.02678617931547619,25.51215292173625,15.326943549306547,16.88414897694685
fold_b,r010,10.0,220700191,train,36.65149649386659,0.01067013146886864,31.433585414556795,12.31114319413684,14.781656150047976
fold_b,r010,10.0,222200041,train,36.32099382833799,0.011048862669203017,25.62418996061855,15.043873685243954,16.59108333341394
fold_b,r010,10.0,222200037,train,38.60752171791399,0.008227123816808065,33.03386110083213,12.287869637470447,14.821910106681687
fold_b,r010,10.0,222200038,train,36.082513325441994,0.011764705570694667,24.553364978513663,16.569864397771887,18.10939567709534
fold_b,r010,10.0,222200047,heldout,32.78262433570611,0.0196078415458084,28.74485019531978,12.219827830602014,14.81196037928077
fold_b,r010,10.0,222200043,heldout,27.54110187773804,0.03778173273259943,25.24120896364788,15.202574670076178,17.198247135075178
fold_b,r010,10.0,222200049,train,33.41546391871833,0.015015326418356206,33.17334100726461,12.644554186480402,15.553472115622018
fold_b,r010,10.0,222200039,train,34.96292206552695,0.013375892195590707,28.49617472048674,15.04773384523328,17.457179406953074
fold_b,r010,10.0,222200045,train,33.223176220992585,0.014948887702746268,29.353204413991335,15.67560254705109,18.668791334619875
fold_b,r010,10.0,221501007,train,33.424248983924876,0.01313725471496582,36.02232666077628,13.294886573114276,17.140618226466525
fold_b,r025,25.0,222200042,train,31.955557732377898,0.014803922176361084,38.614786777397036,17.76638392298465,21.905901789468977
fold_b,r025,25.0,222200044,train,30.940671246784525,0.019669502786120528,35.5497448760423,22.38790514763484,24.924339825202214
fold_b,r025,25.0,222200046,train,34.71366879795879,0.013534439527071439,35.97998931951881,19.678532230059655,22.72986069778596
fold_b,r025,25.0,222200040,train,28.730890173895084,0.02743411320512013,31.043642835542276,22.265021626436642,23.876694058510452
fold_b,r025,25.0,222200036,heldout,31.80224450584057,0.02176516206114442,29.7970198778596,16.674007329120624,19.073281855464096
fold_b,r025,25.0,222200048,heldout,29.513241603625133,0.028959851946149553,26.893274904620604,22.04276194389267,23.097873939292764
fold_b,r025,25.0,220700191,train,34.77610417173347,0.013780612064652654,35.98461818059624,17.21420622292396,19.667067233649156
fold_b,r025,25.0,222200041,train,35.786354450141104,0.012704635801769438,29.545858160400364,21.38737063267566,22.865010778641523
fold_b,r025,25.0,222200037,train,38.6358873942246,0.008717320362726847,35.8692971600824,17.06597333237769,19.576337331444794
fold_b,r025,25.0,222200038,train,35.56273070941183,0.012821990680071263,28.459595672786246,22.11794609903126,23.667331143964475
fold_b,r025,25.0,222200047,heldout,32.16184501752505,0.020692532225985334,29.167047434242164,16.977860546841825,19.441418764689217
fold_b,r025,25.0,222200043,heldout,27.84706328467468,0.036537929496379816,26.695921879001517,20.81952477398434,22.380784623268703
