subject,sequence,stress_region,density_multiplier,gaussian_count,condition,mean_constraint,scale_cap_mm,supported_psnr,unsupported_psnr,head_psnr,supported_center_error_mm,unsupported_center_error_mm,axis_max_p90_mm,axis_fraction_at_cap,total_trainable_parameters,final_loss
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,4.0,20092,free_cap003,free,3.0,42.18906940339488,35.42268206414156,38.03886862073237,3.29314440339906,5.791812683705394,3.0,0.9375373282898666,200920,0.007931513711810112
445,EXP-6-tongue-1,long_hair; tongue_not_visible_at_frame_0,4.0,20092,free_cap030,free,30.0,44.745300059614884,40.06851100924129,41.928451973904735,3.2464786734217492,6.389771765424146,7.042159652709963,0.0011945052757316346,200920,0.0051146564073860645
475,HAIR,hair,0.25,1256,hard_cap003,hard,3.0,16.856590213857125,3.4730194976344895,6.655725857940327,4.910115598025753,35.017941212438565,3.0,1.0,12560,0.4120709300041199
475,HAIR,hair,0.25,1256,hard_cap030,hard,30.0,26.539462112309952,16.47701345954624,19.463557553053985,4.910115598025753,35.017941212438565,15.341440200805664,0.04936305732484077,12560,0.07250025123357773
475,HAIR,hair,0.25,1256,free_cap003,free,3.0,27.121743088661425,17.060254049753233,19.916065715168262,5.60578042982665,9.05957856785093,3.0,1.0,12560,0.08295491337776184
475,HAIR,hair,0.25,1256,free_cap030,free,30.0,36.03390752980335,31.90236216689394,33.36959429717159,4.8629730414570576,8.709089380113221,14.72285270690918,0.006369426751592357,12560,0.013940968550741673
475,HAIR,hair,1.0,5023,hard_cap003,hard,3.0,18.203562996187856,3.4771221315144953,6.72044800716555,3.9362679379235153,34.97427938826753,3.0,0.9685446944057337,50230,0.3976229727268219
475,HAIR,hair,1.0,5023,hard_cap030,hard,30.0,27.768319914482934,16.510427346598313,19.61549281519734,3.9362679379235153,34.97427938826753,11.955894470214844,0.01970933704957197,50230,0.06875879317522049
475,HAIR,hair,1.0,5023,free_cap003,free,3.0,35.675701168666954,24.358749332374774,27.126067639064086,3.426479891974007,5.381218058346855,3.0,0.9550069679474418,50230,0.026784051209688187
475,HAIR,hair,1.0,5023,free_cap030,free,30.0,40.60628671438647,33.72509735342281,35.74898960134334,3.185455777467507,6.766873719656024,10.691739273071294,0.0069679474417678675,50230,0.010012607090175152
475,HAIR,hair,4.0,20092,hard_cap003,hard,3.0,24.12670437438675,4.1142102317053695,7.667585685107604,3.1142385082432487,34.53288505293688,3.0,0.9398765677881744,200920,0.30804696679115295
475,HAIR,hair,4.0,20092,hard_cap030,hard,30.0,29.289555496888003,20.01375043379624,22.816773694811506,3.1142385082432487,34.53288505293688,9.404926490783701,0.012492534342026677,200920,0.044834788888692856
475,HAIR,hair,4.0,20092,free_cap003,free,3.0,42.97444379684267,34.71658970409293,37.32047315652339,2.949058464865816,4.580825520345785,3.0,0.9306689229544097,200920,0.008153007365763187
475,HAIR,hair,4.0,20092,free_cap030,free,30.0,45.2068273890733,38.749143148949855,40.77367993689767,2.8900271174157934,4.505363213414858,5.908764696121222,0.0009456500099542107,200920,0.0054725585505366325
