subject,fold,condition,camera_id,region,psnr
422,fold_c,free,222200038,supported,32.38013771272185
422,fold_c,free,222200049,supported,31.254450166012354
422,fold_c,free,222200044,unsupported,21.26185318517038
422,fold_c,free,222200048,unsupported,25.156080348453926
422,fold_c,free,222200038,unsupported,26.002169720838836
422,fold_c,free,222200049,unsupported,25.836599602339525
422,fold_c,free,222200044,head,25.107580433889044
422,fold_c,free,222200048,head,28.361141968333307
422,fold_c,free,222200038,head,29.207233086085303
422,fold_c,free,222200049,head,27.577526672274733
443,fold_a,hard,222200042,supported,16.528530480226728
443,fold_a,hard,222200036,supported,23.95622279747295
443,fold_a,hard,222200041,supported,18.754957459149885
443,fold_a,hard,222200043,supported,21.021838289193788
443,fold_a,hard,221501007,supported,18.281475503983305
443,fold_a,hard,222200042,unsupported,14.676790080105688
443,fold_a,hard,222200036,unsupported,11.191614613483985
443,fold_a,hard,222200041,unsupported,16.66695728874259
443,fold_a,hard,222200043,unsupported,14.9381834013391
443,fold_a,hard,221501007,unsupported,12.595051507346536
443,fold_a,hard,222200042,head,15.610090714170749
443,fold_a,hard,222200036,head,14.517528695460618
443,fold_a,hard,222200041,head,17.700676016318145
443,fold_a,hard,222200043,head,17.470329930159586
443,fold_a,hard,221501007,head,15.19491202742422
443,fold_a,r075,222200042,supported,26.23797783693709
443,fold_a,r075,222200036,supported,34.800253641273784
443,fold_a,r075,222200041,supported,34.199458462892224
443,fold_a,r075,222200043,supported,33.29118144466163
443,fold_a,r075,221501007,supported,27.625090860324608
443,fold_a,r075,222200042,unsupported,22.37406310071162
443,fold_a,r075,222200036,unsupported,27.18150122900045
443,fold_a,r075,222200041,unsupported,26.09434005641354
443,fold_a,r075,222200043,unsupported,26.517380628532567
443,fold_a,r075,221501007,unsupported,24.203514943310267
443,fold_a,r075,222200042,head,23.952012065218106
443,fold_a,r075,222200036,head,29.500786943351258
443,fold_a,r075,222200041,head,28.55866969814299
443,fold_a,r075,222200043,head,28.89391554913398
443,fold_a,r075,221501007,head,25.823802519470753
443,fold_a,free,222200042,supported,27.114670502699102
443,fold_a,free,222200036,supported,34.03708896243285
443,fold_a,free,222200041,supported,33.68491657153739
443,fold_a,free,222200043,supported,33.35282294977053
443,fold_a,free,221501007,supported,27.558325876301243
443,fold_a,free,222200042,unsupported,19.91225980021554
443,fold_a,free,222200036,unsupported,26.61147680736025
443,fold_a,free,222200041,unsupported,26.795589777396774
443,fold_a,free,222200043,unsupported,25.65921304351874
443,fold_a,free,221501007,unsupported,24.40003206907342
443,fold_a,free,222200042,head,22.473885430259237
443,fold_a,free,222200036,head,28.751521824630288
443,fold_a,free,222200041,head,29.11571479394012
443,fold_a,free,222200043,head,28.290743296496004
443,fold_a,free,221501007,head,26.07707673222615
443,fold_b,hard,222200040,supported,15.819577495022001
443,fold_b,hard,220700191,supported,24.038437018721336
443,fold_b,hard,222200047,supported,23.488912686070492
443,fold_b,hard,222200045,supported,15.714354856490555
443,fold_b,hard,222200040,unsupported,15.695580564623343
443,fold_b,hard,220700191,unsupported,10.34790494780295
443,fold_b,hard,222200047,unsupported,10.387027701727135
443,fold_b,hard,222200045,unsupported,11.239717096699717
443,fold_b,hard,222200040,head,15.830551355829744
443,fold_b,hard,220700191,head,13.825757722986012
443,fold_b,hard,222200047,head,13.90052526488175
443,fold_b,hard,222200045,head,13.400612145791705
443,fold_b,r075,222200040,supported,31.57743860172196
443,fold_b,r075,220700191,supported,33.491594208053556
443,fold_b,r075,222200047,supported,32.31019539743337
443,fold_b,r075,222200045,supported,26.302689726525074
443,fold_b,r075,222200040,unsupported,27.269240705402396
443,fold_b,r075,220700191,unsupported,25.991120913119904
443,fold_b,r075,222200047,unsupported,25.789115513993583
443,fold_b,r075,222200045,unsupported,22.53229546881095
443,fold_b,r075,222200040,head,28.996870000373708
443,fold_b,r075,220700191,head,28.452083036506775
443,fold_b,r075,222200047,head,27.86779495994587
443,fold_b,r075,222200045,head,24.128482078938728
443,fold_b,free,222200040,supported,29.89610304552403
443,fold_b,free,220700191,supported,34.20818799547493
443,fold_b,free,222200047,supported,32.13837382074773
443,fold_b,free,222200045,supported,26.568955565989008
443,fold_b,free,222200040,unsupported,26.895542626313606
443,fold_b,free,220700191,unsupported,25.742892083578347
443,fold_b,free,222200047,unsupported,26.40753670761425
443,fold_b,free,222200045,unsupported,23.822782461692015
443,fold_b,free,222200040,head,28.302417384159074
443,fold_b,free,220700191,head,28.43467229143733
443,fold_b,free,222200047,head,28.35628691788766
443,fold_b,free,222200045,head,25.057388853564426
443,fold_c,hard,222200044,supported,14.948680560590846
443,fold_c,hard,222200048,supported,19.601493044993394
443,fold_c,hard,222200038,supported,15.479305889157471
443,fold_c,hard,222200049,supported,22.518751419750256
443,fold_c,hard,222200044,unsupported,13.841078734888203
443,fold_c,hard,222200048,unsupported,16.498053286876747
443,fold_c,hard,222200038,unsupported,16.057724795294373
443,fold_c,hard,222200049,unsupported,11.464078888425
443,fold_c,hard,222200044,head,14.557812464289967
443,fold_c,hard,222200048,head,17.970788179543852
443,fold_c,hard,222200038,head,15.428966565051269
443,fold_c,hard,222200049,head,14.929328761531648
443,fold_c,r075,222200044,supported,27.175767753242702
443,fold_c,r075,222200048,supported,34.0940076483978
443,fold_c,r075,222200038,supported,34.10045823902756
443,fold_c,r075,222200049,supported,31.49937711352036
443,fold_c,r075,222200044,unsupported,23.53926976755791
443,fold_c,r075,222200048,unsupported,27.486024101796318
443,fold_c,r075,222200038,unsupported,26.855843179498407
443,fold_c,r075,222200049,unsupported,26.323805898672873
443,fold_c,r075,222200044,head,25.1179578046903
443,fold_c,r075,222200048,head,29.852172599425053
443,fold_c,r075,222200038,head,29.296606394245774
443,fold_c,r075,222200049,head,27.328086487134676
443,fold_c,free,222200044,supported,26.962368087008997
443,fold_c,free,222200048,supported,34.639955889225085
443,fold_c,free,222200038,supported,34.15379840646779
443,fold_c,free,222200049,supported,31.698184352073948
443,fold_c,free,222200044,unsupported,22.08799035341807
443,fold_c,free,222200048,unsupported,27.199271461892494
443,fold_c,free,222200038,unsupported,26.4366146934574
443,fold_c,free,222200049,unsupported,26.210455892663948
443,fold_c,free,222200044,head,23.968155621977356
443,fold_c,free,222200048,head,29.6054805687266
443,fold_c,free,222200038,head,29.041441371446943
443,fold_c,free,222200049,head,27.62010416292692
445,fold_a,hard,222200042,supported,19.042735454572057
445,fold_a,hard,222200036,supported,25.026432435605336
445,fold_a,hard,222200041,supported,23.10442031241299
445,fold_a,hard,222200043,supported,22.837527322210434
445,fold_a,hard,221501007,supported,21.000950175723844
445,fold_a,hard,222200042,unsupported,14.022838261309769
445,fold_a,hard,222200036,unsupported,9.078761741290771
445,fold_a,hard,222200041,unsupported,11.322658842332306
445,fold_a,hard,222200043,unsupported,11.548161187402727
445,fold_a,hard,221501007,unsupported,9.852283642901474
445,fold_a,hard,222200042,head,16.409953674211838
445,fold_a,hard,222200036,head,13.15577404054827
445,fold_a,hard,222200041,head,14.699543759157791
445,fold_a,hard,222200043,head,14.959536791008933
445,fold_a,hard,221501007,head,13.442116194579057
